marca,model,varianta,an,tip,arhitectura,mass_kg,Cd,Af,P_ICE_max_kW,P_EM_max_kW,bat_energy_kWh,price_EUR,co2_wltp_g_km,consum_wltp_L_100km,eta_th_peak,sursa,estimari
DS,DS7,E-Tense 300 4x4 PHEV,2024,PHEV,paralel,1885,0.32,2.60,147,83,14.2,59500,33,1.5,0.37,Fișă tehnică DS 2024,Cd;Af;co2
DS,DS9,E-Tense 250 PHEV,2023,PHEV,paralel,1815,0.26,2.29,147,81,15.6,56500,26,1.1,0.38,Fișă tehnică DS 2023,Cd;Af;co2
Opel,Astra,Plug-in Hybrid 180,2024,PHEV,paralel,1678,0.27,2.26,110,81,12.4,39500,25,1.1,0.38,Fișă tehnică Opel 2024,Cd;Af;co2
Opel,Astra,Hybrid 136 e-DCS6,2024,MHEV,paralel,1373,0.27,2.26,100,21,0.89,31500,116,5.1,0.38,Fișă tehnică Opel 2024,Cd;Af
Opel,Grandland,Plug-in Hybrid 225,2023,PHEV,paralel,1815,0.32,2.60,133,81,13.2,45500,31,1.4,0.38,Fișă tehnică Opel 2023,Cd;Af;co2
Opel,Grandland,Hybrid 136 e-DCS6,2025,MHEV,paralel,1618,0.29,2.65,100,21,0.89,38500,123,5.4,0.38,Fișă tehnică Opel 2025,Cd;Af
Jeep,Renegade,4xe 190 PHEV,2023,PHEV,paralel,1770,0.36,2.52,96,44,11.4,41500,49,2.2,0.37,Fișă tehnică Jeep 2023,Cd;Af;co2
Jeep,Compass,4xe 240 PHEV,2023,PHEV,paralel,1860,0.34,2.58,132,44,11.4,47500,47,2.1,0.37,Fișă tehnică Jeep 2023,Cd;Af;co2
Jeep,Wrangler,4xe 380 PHEV,2024,PHEV,paralel,2415,0.45,3.20,200,107,17.3,79500,79,3.5,0.36,Fișă tehnică Jeep 2024,Cd;Af;co2
Jeep,Avenger,e-Hybrid 100,2024,MHEV,paralel,1280,0.33,2.42,74,21,0.89,26500,115,5.1,0.38,Fișă tehnică Jeep 2024,Cd;Af
Fiat,600,Hybrid 100,2024,MHEV,paralel,1250,0.33,2.40,74,21,0.89,25500,112,5.0,0.38,Fișă tehnică Fiat 2024,Cd;Af
Fiat,500,1.0 Hybrid 70,2024,MHEV,paralel,1055,0.32,2.05,51,4,0.11,18500,110,4.9,0.36,Fișă tehnică Fiat 2024,Cd;Af
Fiat,Panda,1.0 Hybrid 70,2024,MHEV,paralel,1015,0.36,2.10,51,4,0.11,16500,113,5.0,0.36,Fișă tehnică Fiat 2024,Cd;Af
Alfa Romeo,Tonale,Hybrid 160 VGT,2024,MHEV,paralel,1495,0.32,2.53,118,15,0.77,42500,130,5.7,0.38,Fișă tehnică Alfa Romeo 2024,Cd;Af
Alfa Romeo,Tonale,Plug-In Hybrid Q4 280,2024,PHEV,paralel,1835,0.32,2.53,132,90,15.5,54500,29,1.3,0.38,Fișă tehnică Alfa Romeo 2024,Cd;Af;co2
Mazda,2 Hybrid,1.5 116,2024,HEV,serie_paralel,1130,0.29,2.10,68,59,0.76,25500,98,4.3,0.40,Fișă tehnică Mazda 2024 (bază Toyota),Cd;Af
Mazda,CX-60,2.5 e-Skyactiv PHEV 327,2024,PHEV,paralel,2055,0.30,2.75,141,129,17.8,56500,33,1.5,0.39,Fișă tehnică Mazda 2024,Cd;Af;co2
Mazda,MX-30,e-Skyactiv R-EV 170,2024,PHEV,serie,1778,0.31,2.45,55,125,17.8,38500,21,1.0,0.37,Fișă tehnică Mazda 2024 (REx rotativ),Cd;Af;co2
Suzuki,Swace,1.8 Hybrid 140,2024,HEV,serie_paralel,1400,0.30,2.24,72,70,0.76,31500,103,4.5,0.41,Fișă tehnică Suzuki 2024 (bază Toyota),Cd;Af
Suzuki,Across,2.5 PHEV 306 AWD,2024,PHEV,serie_paralel,1940,0.32,2.60,136,134,18.1,57500,22,1.0,0.41,Fișă tehnică Suzuki 2024 (bază Toyota),Cd;Af;co2
Suzuki,Vitara,1.5 Full Hybrid 116 AGS,2024,HEV,paralel,1295,0.32,2.38,75,24,0.84,28500,121,5.3,0.38,Fișă tehnică Suzuki 2024,Cd;Af
Suzuki,S-Cross,1.5 Full Hybrid 116 AGS,2024,HEV,paralel,1315,0.32,2.42,75,24,0.84,29500,118,5.2,0.38,Fișă tehnică Suzuki 2024,Cd;Af
Suzuki,Swift,1.2 mild Hybrid 83,2024,MHEV,paralel,984,0.30,2.05,61,2,0.10,19500,99,4.4,0.38,Fișă tehnică Suzuki 2024,Cd;Af
Land Rover,Range Rover Evoque,P300e PHEV,2024,PHEV,paralel,2085,0.32,2.63,147,80,14.9,62500,32,1.4,0.37,Fișă tehnică Land Rover 2024,Cd;Af;co2
Land Rover,Discovery Sport,P300e PHEV,2024,PHEV,paralel,2168,0.34,2.75,147,80,14.9,64500,36,1.6,0.37,Fișă tehnică Land Rover 2024,Cd;Af;co2
Land Rover,Range Rover Sport,P460e PHEV,2024,PHEV,paralel,2735,0.29,2.98,294,105,38.2,119500,18,0.8,0.36,Fișă tehnică Land Rover 2024,Cd;Af;co2
Land Rover,Range Rover,P460e PHEV,2024,PHEV,paralel,2810,0.30,3.02,294,105,38.2,139500,19,0.8,0.36,Fișă tehnică Land Rover 2024,Cd;Af;co2
Land Rover,Defender,110 P400e PHEV,2024,PHEV,paralel,2650,0.38,3.30,221,105,19.2,89500,74,3.3,0.36,Fișă tehnică Land Rover 2024,Cd;Af;co2
Porsche,Cayenne,E-Hybrid 470,2024,PHEV,paralel,2475,0.33,2.88,224,130,25.9,105500,32,1.4,0.36,Fișă tehnică Porsche 2024,Cd;Af;co2
Porsche,Cayenne,S E-Hybrid 519,2024,PHEV,paralel,2495,0.33,2.88,260,130,25.9,125500,33,1.5,0.36,Fișă tehnică Porsche 2024,Cd;Af;co2
Porsche,Panamera,4 E-Hybrid 470,2024,PHEV,paralel,2355,0.28,2.35,224,140,25.9,125500,25,1.1,0.36,Fișă tehnică Porsche 2024,Cd;Af;co2
Porsche,Panamera,4S E-Hybrid 544,2024,PHEV,paralel,2375,0.28,2.35,260,140,25.9,145500,27,1.2,0.36,Fișă tehnică Porsche 2024,Cd;Af;co2
MG,MG3,Hybrid+ 195,2024,HEV,serie_paralel,1298,0.31,2.20,75,100,1.83,21500,100,4.4,0.41,Fișă tehnică MG 2024,Cd;Af
MG,ZS,Hybrid+ 196,2025,HEV,serie_paralel,1420,0.32,2.45,75,100,1.83,25500,115,5.1,0.41,Fișă tehnică MG 2025,Cd;Af
MG,HS,PHEV 272,2025,PHEV,paralel,1885,0.32,2.62,105,135,21.4,38500,17,0.8,0.38,Fișă tehnică MG 2025,Cd;Af;co2
BYD,Seal U,DM-i 218 Boost,2024,PHEV,serie_paralel,1940,0.32,2.68,72,145,18.3,38500,26,1.1,0.43,Fișă tehnică BYD 2024,Cd;Af;co2
BYD,Seal U,DM-i 218 Comfort,2024,PHEV,serie_paralel,2010,0.32,2.68,72,145,26.6,42500,22,1.0,0.43,Fișă tehnică BYD 2024,Cd;Af;co2
BYD,Seal,U DM-i AWD 324,2025,PHEV,serie_paralel,2110,0.32,2.68,96,150,18.3,46500,33,1.5,0.43,Fișă tehnică BYD 2025,Cd;Af;co2
Mitsubishi,Outlander,PHEV 2.4 302 4WD,2025,PHEV,serie_paralel,2145,0.33,2.78,100,150,22.7,54500,23,1.0,0.40,Fișă tehnică Mitsubishi 2025,Cd;Af;co2
Mitsubishi,Eclipse Cross,PHEV 2.4 188 4WD,2023,PHEV,serie_paralel,1990,0.35,2.68,72,120,13.8,42500,46,2.0,0.39,Fișă tehnică Mitsubishi 2023,Cd;Af;co2
Mitsubishi,ASX,1.6 HEV 143,2024,HEV,serie_paralel,1354,0.31,2.27,69,36,1.2,28500,107,4.7,0.40,Fișă tehnică Mitsubishi 2024 (bază Renault),Cd;Af
Mitsubishi,Colt,1.6 HEV 143,2024,HEV,serie_paralel,1268,0.30,2.15,69,36,1.2,24500,100,4.4,0.40,Fișă tehnică Mitsubishi 2024 (bază Renault),Cd;Af
Toyota,Yaris Cross,1.5 Hybrid GR SPORT 130,2024,HEV,serie_paralel,1190,0.31,2.25,74,62,0.76,32500,107,4.7,0.40,Fișă tehnică Toyota 2024,Cd;Af
Toyota,Corolla,1.8 Hybrid 140 Sedan,2024,HEV,serie_paralel,1370,0.27,2.20,72,70,0.76,32000,102,4.5,0.41,Fișă tehnică Toyota 2024,Cd;Af
Toyota,Crown,2.5 Hybrid 234 AWD,2024,HEV,serie_paralel,1770,0.30,2.55,137,88,1.06,59500,133,5.9,0.41,Fișă tehnică Toyota 2024,Cd;Af
Lexus,NX,350h FWD,2024,HEV,serie_paralel,1685,0.31,2.65,140,134,1.87,53900,124,5.5,0.41,Fișă tehnică Lexus 2024,Cd;Af
Lexus,UX,300h FWD,2024,HEV,serie_paralel,1560,0.31,2.34,112,83,0.76,45900,110,4.9,0.41,Fișă tehnică Lexus 2024,Cd;Af
Renault,Clio,E-Tech full hybrid 160,2026,HEV,serie_paralel,1290,0.30,2.15,80,36,1.4,26500,95,4.2,0.41,Fișă tehnică Renault 2026,Cd;Af
Renault,Captur,E-Tech full hybrid 160,2026,HEV,serie_paralel,1380,0.31,2.27,80,36,1.4,30500,103,4.6,0.41,Fișă tehnică Renault 2026,Cd;Af
Dacia,Duster,Hybrid-G 150 4x4,2026,HEV,paralel,1444,0.33,2.56,103,26,0.84,27500,118,5.2,0.39,Fișă tehnică Dacia 2026 (mild-hybrid G),Cd;Af
Hyundai,Kona,1.6 GDI Hybrid 129,2022,HEV,paralel,1385,0.29,2.42,77,32,1.56,27500,112,4.9,0.40,Fișă tehnică Hyundai 2022,Cd;Af
Hyundai,Bayon,1.0 T-GDI 48V mHEV 100,2024,MHEV,paralel,1160,0.30,2.35,74,10,0.44,23500,109,4.8,0.38,Fișă tehnică Hyundai 2024,Cd;Af
Hyundai,i20,1.0 T-GDI 48V mHEV 100,2024,MHEV,paralel,1105,0.29,2.20,74,10,0.44,21500,107,4.7,0.38,Fișă tehnică Hyundai 2024,Cd;Af
Kia,Picanto,1.0 DPi 63 (referință MAI),2024,MHEV,paralel,955,0.32,2.06,46,2,0.06,15500,109,4.8,0.36,Fișă tehnică Kia 2024,Cd;Af
Kia,Stonic,1.0 T-GDI 48V mHEV 100,2024,MHEV,paralel,1180,0.31,2.32,74,10,0.44,22500,112,4.9,0.38,Fișă tehnică Kia 2024,Cd;Af
Honda,CR-V,e:HEV 2.0 184 FWD,2024,HEV,serie_paralel,1725,0.31,2.68,109,135,1.05,49500,143,6.3,0.41,Fișă tehnică Honda 2024,Cd;Af
Nissan,Juke,Hybrid 143 N-Sport,2024,HEV,serie_paralel,1355,0.32,2.30,69,36,1.2,31500,105,4.6,0.40,Fișă tehnică Nissan 2024,Cd;Af
Ford,Galaxy,2.5 FHEV 190,2022,HEV,serie_paralel,1911,0.31,2.85,112,97,1.10,48500,148,6.5,0.40,Fișă tehnică Ford 2022,Cd;Af
Ford,S-MAX,2.5 FHEV 190,2022,HEV,serie_paralel,1886,0.30,2.80,112,97,1.10,47500,146,6.4,0.40,Fișă tehnică Ford 2022,Cd;Af
Ford,Tourneo Custom,2.5 PHEV 233,2024,PHEV,serie_paralel,2415,0.35,3.60,112,131,11.8,59500,64,2.8,0.40,Fișă tehnică Ford 2024,Cd;Af;co2
VW,Golf Variant,1.5 eHybrid 204,2024,PHEV,paralel,1655,0.29,2.24,110,85,19.7,41500,12,0.5,0.38,Fișă tehnică VW 2024,Cd;Af;co2
Skoda,Octavia Combi,1.4 iV PHEV 204,2023,PHEV,paralel,1661,0.27,2.32,110,85,10.9,39500,24,1.1,0.37,Fișă tehnică Skoda 2023,Cd;Af;co2
Audi,Q5 Sportback,e-hybrid quattro 299,2025,PHEV,paralel,2155,0.29,2.61,185,105,20.7,69500,19,0.9,0.37,Fișă tehnică Audi 2025,Cd;Af;co2
BMW,X2,25e xDrive,2024,PHEV,paralel,1925,0.27,2.52,100,130,14.2,52500,23,1.0,0.38,Fișă tehnică BMW 2024,Cd;Af;co2
BMW,Seria 5 Touring,530e,2024,PHEV,paralel,2135,0.26,2.38,140,135,18.7,66500,19,0.9,0.38,Fișă tehnică BMW 2024,Cd;Af;co2
Mercedes-Benz,GLC Coupé,300e 4MATIC,2024,PHEV,paralel,2265,0.28,2.53,150,100,31.2,73500,15,0.7,0.38,Fișă tehnică Mercedes 2024,Cd;Af;co2
Mercedes-Benz,Clasa E All-Terrain,E300de 4MATIC,2024,PHEV,paralel,2325,0.25,2.42,145,95,25.4,79500,17,0.7,0.42,Fișă tehnică Mercedes 2024 (diesel),Cd;Af;co2
Volvo,V90,T6 AWD Recharge 350,2023,PHEV,paralel,2115,0.27,2.44,186,107,18.8,72500,21,0.9,0.37,Fișă tehnică Volvo 2023,Cd;Af;co2
Peugeot,5008,Hybrid 136 e-DCS6,2025,MHEV,paralel,1680,0.30,2.72,100,21,0.89,42500,126,5.6,0.38,Fișă tehnică Peugeot 2025,Cd;Af
Peugeot,208,Hybrid 100 e-DCS6,2024,MHEV,paralel,1219,0.29,2.19,74,21,0.89,24500,107,4.7,0.38,Fișă tehnică Peugeot 2024,Cd;Af
Peugeot,2008,Hybrid 136 e-DCS6,2024,MHEV,paralel,1352,0.30,2.39,100,21,0.89,29500,115,5.1,0.38,Fișă tehnică Peugeot 2024,Cd;Af
Citroen,C3,Hybrid 100 e-DCS6,2025,MHEV,paralel,1235,0.31,2.32,74,21,0.89,21500,110,4.9,0.38,Fișă tehnică Citroën 2025,Cd;Af
Citroen,C4,Hybrid 136 e-DCS6,2024,MHEV,paralel,1381,0.29,2.40,100,21,0.89,29500,113,5.0,0.38,Fișă tehnică Citroën 2024,Cd;Af
Opel,Corsa,Hybrid 100 e-DCS6,2024,MHEV,paralel,1213,0.29,2.15,74,21,0.89,23500,106,4.7,0.38,Fișă tehnică Opel 2024,Cd;Af
Opel,Mokka,Hybrid 136 e-DCS6,2024,MHEV,paralel,1339,0.32,2.36,100,21,0.89,28500,114,5.0,0.38,Fișă tehnică Opel 2024,Cd;Af
Fiat,Tipo,1.5 Hybrid 130,2023,MHEV,paralel,1345,0.32,2.34,96,15,0.77,25500,124,5.5,0.38,Fișă tehnică Fiat 2023,Cd;Af
Fiat,500X,1.5 Hybrid 130,2023,MHEV,paralel,1420,0.34,2.46,96,15,0.77,28500,133,5.9,0.38,Fișă tehnică Fiat 2023,Cd;Af
Alfa Romeo,Junior,Ibrida 136 e-DCS6,2025,MHEV,paralel,1385,0.31,2.42,100,21,0.89,32500,116,5.1,0.38,Fișă tehnică Alfa Romeo 2025,Cd;Af
Jeep,Avenger,e-Hybrid 145 4xe,2025,MHEV,paralel,1420,0.33,2.42,107,21,0.89,31500,127,5.6,0.38,Fișă tehnică Jeep 2025,Cd;Af
Mazda,3,e-Skyactiv X 186 mHEV,2024,MHEV,paralel,1408,0.27,2.30,137,5,0.22,32500,124,5.5,0.42,Fișă tehnică Mazda 2024 (SPCCI),Cd;Af
Mazda,CX-30,e-Skyactiv X 186 mHEV,2024,MHEV,paralel,1465,0.30,2.45,137,5,0.22,34500,131,5.8,0.42,Fișă tehnică Mazda 2024 (SPCCI),Cd;Af
Toyota,Land Cruiser,2.8 D mHEV 205,2025,MHEV,paralel,2330,0.38,3.24,150,12,0.42,74500,238,9.1,0.42,Fișă tehnică Toyota 2025 (diesel 48V),Cd;Af
Toyota,Hilux,2.8 D mHEV 204,2024,MHEV,paralel,2210,0.39,3.35,150,12,0.42,49500,244,9.3,0.42,Fișă tehnică Toyota 2024 (diesel 48V),Cd;Af
Lexus,LBX,Morizo RR 305,2025,HEV,serie_paralel,1450,0.31,2.25,206,59,0.76,62500,135,6.0,0.39,Fișă tehnică Lexus 2025,Cd;Af
Renault,Kangoo,E-Tech full hybrid 160,2026,HEV,serie_paralel,1610,0.34,3.10,80,36,1.4,32500,128,5.7,0.41,Fișă tehnică Renault 2026,Cd;Af
Nissan,Qashqai,mHEV 1.3 DIG-T 158,2024,MHEV,paralel,1465,0.32,2.55,116,5,0.26,33500,144,6.4,0.38,Fișă tehnică Nissan 2024,Cd;Af
Suzuki,Ignis,1.2 mild Hybrid 83 4x4,2024,MHEV,paralel,935,0.34,2.12,61,2,0.10,20500,113,5.0,0.38,Fișă tehnică Suzuki 2024,Cd;Af
Honda,HR-V,e:HEV 1.5 131 Advance,2024,HEV,serie_paralel,1395,0.31,2.38,79,96,0.80,35500,124,5.5,0.41,Fișă tehnică Honda 2024,Cd;Af
Kia,Sportage,1.6 T-GDI mHEV 180 DCT,2024,MHEV,paralel,1540,0.33,2.60,132,10,0.44,34500,152,6.7,0.38,Fișă tehnică Kia 2024,Cd;Af
Hyundai,Tucson,1.6 T-GDI mHEV 160 DCT,2024,MHEV,paralel,1555,0.33,2.62,118,10,0.44,35500,150,6.6,0.38,Fișă tehnică Hyundai 2024,Cd;Af
VW,Golf,1.5 eTSI mHEV 150 DSG,2024,MHEV,paralel,1355,0.28,2.21,110,9,0.30,33500,124,5.5,0.38,Fișă tehnică VW 2024,Cd;Af
VW,T-Roc,1.5 eTSI mHEV 150 DSG,2024,MHEV,paralel,1395,0.31,2.44,110,9,0.30,34500,132,5.8,0.38,Fișă tehnică VW 2024,Cd;Af
Skoda,Kamiq,1.5 TSI mHEV 150 DSG,2024,MHEV,paralel,1339,0.31,2.41,110,9,0.30,29500,128,5.7,0.38,Fișă tehnică Skoda 2024,Cd;Af
Audi,A3,35 TFSI mHEV 150 S tronic,2024,MHEV,paralel,1395,0.28,2.24,110,9,0.30,36500,126,5.6,0.38,Fișă tehnică Audi 2024,Cd;Af
BMW,Seria 1,120 mHEV 170,2024,MHEV,paralel,1495,0.27,2.31,125,14,0.90,39500,133,5.9,0.38,Fișă tehnică BMW 2024,Cd;Af
BMW,Seria 3,320d mHEV 190,2024,MHEV,paralel,1670,0.26,2.24,140,8,0.35,53500,124,4.7,0.42,Fișă tehnică BMW 2024 (diesel 48V),Cd;Af
Mercedes-Benz,Clasa C,C200 mHEV 204,2024,MHEV,paralel,1675,0.24,2.29,150,17,0.89,52500,148,6.5,0.38,Fișă tehnică Mercedes 2024,Cd;Af
Mercedes-Benz,Clasa E,E200 mHEV 204,2024,MHEV,paralel,1855,0.23,2.35,150,17,0.89,64500,151,6.7,0.38,Fișă tehnică Mercedes 2024,Cd;Af
Volvo,XC60,B4 mHEV 197,2024,MHEV,paralel,1885,0.32,2.71,145,10,0.34,56500,164,7.2,0.38,Fișă tehnică Volvo 2024,Cd;Af
Volvo,XC40,B3 mHEV 163,2024,MHEV,paralel,1685,0.31,2.56,120,10,0.34,44500,159,7.0,0.38,Fișă tehnică Volvo 2024,Cd;Af
